# MITRE ATT&CK Enterprise — curated subset (offline reference)
#
# Format:  <id>\t<tactic>\t<name>
#
# Lines starting with '#' and blank lines are ignored.
# `id` is the technique or sub-technique ID (T#### or T####.###).
# `tactic` is the primary tactic name; sub-techniques inherit their parent's tactic.
# `name` is the technique's canonical short name.
#
# This file is the authoritative allowed-list for `mitre-validate.sh`. A
# `MITRE:` line on a finding must reference IDs present here. To extend with
# additional techniques, append rows in the same tab-separated format and keep
# the file sorted by ID. Source values were taken from the public MITRE
# enterprise-attack matrix; cross-check at https://attack.mitre.org/techniques/
# before adding new rows.
#
# Coverage: ~120 of the most-cited enterprise techniques across all 14 tactics.
# Analysts can extend.
#
# id	tactic	name
T1003	Credential Access	OS Credential Dumping
T1003.001	Credential Access	OS Credential Dumping: LSASS Memory
T1003.002	Credential Access	OS Credential Dumping: Security Account Manager
T1003.003	Credential Access	OS Credential Dumping: NTDS
T1003.004	Credential Access	OS Credential Dumping: LSA Secrets
T1003.005	Credential Access	OS Credential Dumping: Cached Domain Credentials
T1003.006	Credential Access	OS Credential Dumping: DCSync
T1005	Collection	Data from Local System
T1007	Discovery	System Service Discovery
T1010	Discovery	Application Window Discovery
T1012	Discovery	Query Registry
T1014	Defense Evasion	Rootkit
T1016	Discovery	System Network Configuration Discovery
T1018	Discovery	Remote System Discovery
T1021	Lateral Movement	Remote Services
T1021.001	Lateral Movement	Remote Services: Remote Desktop Protocol
T1021.002	Lateral Movement	Remote Services: SMB/Windows Admin Shares
T1021.003	Lateral Movement	Remote Services: Distributed Component Object Model
T1021.004	Lateral Movement	Remote Services: SSH
T1021.005	Lateral Movement	Remote Services: VNC
T1021.006	Lateral Movement	Remote Services: Windows Remote Management
T1027	Defense Evasion	Obfuscated Files or Information
T1027.002	Defense Evasion	Obfuscated Files or Information: Software Packing
T1027.005	Defense Evasion	Obfuscated Files or Information: Indicator Removal from Tools
T1033	Discovery	System Owner/User Discovery
T1036	Defense Evasion	Masquerading
T1036.003	Defense Evasion	Masquerading: Rename System Utilities
T1036.005	Defense Evasion	Masquerading: Match Legitimate Name or Location
T1037	Persistence	Boot or Logon Initialization Scripts
T1041	Exfiltration	Exfiltration Over C2 Channel
T1046	Discovery	Network Service Discovery
T1047	Execution	Windows Management Instrumentation
T1048	Exfiltration	Exfiltration Over Alternative Protocol
T1049	Discovery	System Network Connections Discovery
T1053	Execution	Scheduled Task/Job
T1053.005	Execution	Scheduled Task/Job: Scheduled Task
T1055	Defense Evasion	Process Injection
T1055.001	Defense Evasion	Process Injection: Dynamic-link Library Injection
T1055.002	Defense Evasion	Process Injection: Portable Executable Injection
T1055.012	Defense Evasion	Process Injection: Process Hollowing
T1056	Collection	Input Capture
T1056.001	Collection	Input Capture: Keylogging
T1057	Discovery	Process Discovery
T1059	Execution	Command and Scripting Interpreter
T1059.001	Execution	Command and Scripting Interpreter: PowerShell
T1059.003	Execution	Command and Scripting Interpreter: Windows Command Shell
T1059.004	Execution	Command and Scripting Interpreter: Unix Shell
T1059.005	Execution	Command and Scripting Interpreter: Visual Basic
T1059.006	Execution	Command and Scripting Interpreter: Python
T1059.007	Execution	Command and Scripting Interpreter: JavaScript
T1068	Privilege Escalation	Exploitation for Privilege Escalation
T1069	Discovery	Permission Groups Discovery
T1070	Defense Evasion	Indicator Removal
T1070.001	Defense Evasion	Indicator Removal: Clear Windows Event Logs
T1070.004	Defense Evasion	Indicator Removal: File Deletion
T1070.006	Defense Evasion	Indicator Removal: Timestomp
T1071	Command and Control	Application Layer Protocol
T1071.001	Command and Control	Application Layer Protocol: Web Protocols
T1071.004	Command and Control	Application Layer Protocol: DNS
T1072	Execution	Software Deployment Tools
T1074	Collection	Data Staged
T1078	Defense Evasion	Valid Accounts
T1078.002	Defense Evasion	Valid Accounts: Domain Accounts
T1078.003	Defense Evasion	Valid Accounts: Local Accounts
T1078.004	Defense Evasion	Valid Accounts: Cloud Accounts
T1082	Discovery	System Information Discovery
T1083	Discovery	File and Directory Discovery
T1087	Discovery	Account Discovery
T1090	Command and Control	Proxy
T1090.003	Command and Control	Proxy: Multi-hop Proxy
T1095	Command and Control	Non-Application Layer Protocol
T1098	Persistence	Account Manipulation
T1102	Command and Control	Web Service
T1105	Command and Control	Ingress Tool Transfer
T1110	Credential Access	Brute Force
T1110.001	Credential Access	Brute Force: Password Guessing
T1110.003	Credential Access	Brute Force: Password Spraying
T1110.004	Credential Access	Brute Force: Credential Stuffing
T1112	Defense Evasion	Modify Registry
T1113	Collection	Screen Capture
T1114	Collection	Email Collection
